# From extend_go_genes.pl on Tue Apr 21 11:35:37 2020
# Input = gos_table.txt
# Genes	GO	GO branch
sstT	GO:0006810	P
ssuA	GO:0006810	P
ssuB	GO:0006810	P
ssuC	GO:0006810	P
tamA	GO:0006810	P
tamB	GO:0006810	P
tatA	GO:0006810	P
tatB	GO:0006810	P
tatC	GO:0006810	P
tatE	GO:0006810	P
tauA	GO:0006810	P
tauB	GO:0006810	P
tauC	GO:0006810	P
tcyJ	GO:0006810	P
tcyL	GO:0006810	P
tcyN	GO:0006810	P
tcyP	GO:0006810	P
tdcC	GO:0006810	P
tehA	GO:0006810	P
thiB	GO:0006810	P
thiP	GO:0006810	P
thiQ	GO:0006810	P
tig	GO:0006810	P
tisB	GO:0006810	P
tnaB	GO:0006810	P
tolA	GO:0006810	P
tolB	GO:0006810	P
tolC	GO:0006810	P
tolQ	GO:0006810	P
tolR	GO:0006810	P
tonB	GO:0006810	P
tqsA	GO:0006810	P
treB	GO:0006810	P
trkA	GO:0006810	P
trkG	GO:0006810	P
trkH	GO:0006810	P
tsgA	GO:0006810	P
tsx	GO:0006810	P
ttdT	GO:0006810	P
tyrP	GO:0006810	P
uacT	GO:0006810	P
ugpA	GO:0006810	P
ugpB	GO:0006810	P
ugpC	GO:0006810	P
ugpE	GO:0006810	P
uhpC	GO:0006810	P
uhpT	GO:0006810	P
uidB	GO:0006810	P
uidC	GO:0006810	P
ulaA	GO:0006810	P
ulaB	GO:0006810	P
ulaC	GO:0006810	P
uraA	GO:0006810	P
wza	GO:0006810	P
xanP	GO:0006810	P
xanQ	GO:0006810	P
xapB	GO:0006810	P
xylE	GO:0006810	P
xylF	GO:0006810	P
xylG	GO:0006810	P
xylH	GO:0006810	P
yaaJ	GO:0006810	P
yaaU	GO:0006810	P
yadH	GO:0006810	P
yadI	GO:0006810	P
yagG	GO:0006810	P
yahN	GO:0006810	P
yajC	GO:0006810	P
yajR	GO:0006810	P
ybaE	GO:0006810	P
ybaL	GO:0006810	P
ybaT	GO:0006810	P
ybbW	GO:0006810	P
ybbY	GO:0006810	P
ybdG	GO:0006810	P
ybgQ	GO:0006810	P
ybhF	GO:0006810	P
ybhI	GO:0006810	P
ybhR	GO:0006810	P
ybhS	GO:0006810	P
ybiO	GO:0006810	P
ybiR	GO:0006810	P
ybjJ	GO:0006810	P
ybjL	GO:0006810	P
ycaD	GO:0006810	P
ycaM	GO:0006810	P
yccS	GO:0006810	P
ycjO	GO:0006810	P
ycjP	GO:0006810	P
ydcO	GO:0006810	P
ydcS	GO:0006810	P
ydcT	GO:0006810	P
ydcU	GO:0006810	P
ydcV	GO:0006810	P
yddA	GO:0006810	P
yddG	GO:0006810	P
yddL	GO:0006810	P
ydeA	GO:0006810	P
ydeE	GO:0006810	P
ydeT	GO:0006810	P
ydfJ	GO:0006810	P
ydgI	GO:0006810	P
ydhC	GO:0006810	P
ydhJ	GO:0006810	P
ydhK	GO:0006810	P
ydhP	GO:0006810	P
ydiM	GO:0006810	P
ydiN	GO:0006810	P
ydjE	GO:0006810	P
ydjK	GO:0006810	P
yeaV	GO:0006810	P
yebQ	GO:0006810	P
yebS	GO:0006810	P
yebT	GO:0006810	P
yebZ	GO:0006810	P
yedA	GO:0006810	P
yedE	GO:0006810	P
yeeA	GO:0006810	P
yeeO	GO:0006810	P
yegT	GO:0006810	P
yehB	GO:0006810	P
yehW	GO:0006810	P
yehX	GO:0006810	P
yehY	GO:0006810	P
yejA	GO:0006810	P
yejB	GO:0006810	P
yejE	GO:0006810	P
yejF	GO:0006810	P
yfaV	GO:0006810	P
yfbS	GO:0006810	P
yfcC	GO:0006810	P
yfcJ	GO:0006810	P
yfdC	GO:0006810	P
yfdV	GO:0006810	P
yfeH	GO:0006810	P
yfeO	GO:0006810	P
yfgO	GO:0006810	P
ygaH	GO:0006810	P
ygaZ	GO:0006810	P
ygbN	GO:0006810	P
ygcS	GO:0006810	P
yghB	GO:0006810	P
yghD	GO:0006810	P
yghF	GO:0006810	P
ygiS	GO:0006810	P
ygjI	GO:0006810	P
yhcD	GO:0006810	P
yhdX	GO:0006810	P
yhdY	GO:0006810	P
yhdZ	GO:0006810	P
yhfK	GO:0006810	P
yhhJ	GO:0006810	P
yhhQ	GO:0006810	P
yhhS	GO:0006810	P
yhhT	GO:0006810	P
yhiI	GO:0006810	P
yhjD	GO:0006810	P
yhjE	GO:0006810	P
yhjV	GO:0006810	P
yhjX	GO:0006810	P
yiaM	GO:0006810	P
yiaN	GO:0006810	P
yiaO	GO:0006810	P
yiaV	GO:0006810	P
yibH	GO:0006810	P
yicJ	GO:0006810	P
yidC	GO:0006810	P
yidD	GO:0006810	P
yidE	GO:0006810	P
yidK	GO:0006810	P
yifK	GO:0006810	P
yihN	GO:0006810	P
yihO	GO:0006810	P
yihP	GO:0006810	P
yijE	GO:0006810	P
yjbB	GO:0006810	P
yjcE	GO:0006810	P
yjeH	GO:0006810	P
yjeM	GO:0006810	P
yjfF	GO:0006810	P
yjhB	GO:0006810	P
yjhF	GO:0006810	P
yjjB	GO:0006810	P
yjjP	GO:0006810	P
ynaI	GO:0006810	P
yncD	GO:0006810	P
ynfM	GO:0006810	P
ynjC	GO:0006810	P
yobA	GO:0006810	P
yoeA	GO:0006810	P
yojI	GO:0006810	P
yphD	GO:0006810	P
yqcE	GO:0006810	P
yqeG	GO:0006810	P
yqjA	GO:0006810	P
yraJ	GO:0006810	P
yrbG	GO:0006810	P
ytfQ	GO:0006810	P
ytfR	GO:0006810	P
ytfT	GO:0006810	P
zitB	GO:0006810	P
zntA	GO:0006810	P
zntB	GO:0006810	P
znuA	GO:0006810	P
znuB	GO:0006810	P
znuC	GO:0006810	P
zupT	GO:0006810	P
aaeA	GO:0046942	P
aaeB	GO:0046942	P
abgT	GO:0046942	P
actP	GO:0046942	P
adiC	GO:0046942	P
alaE	GO:0046942	P
ansP	GO:0046942	P
argO	GO:0046942	P
argT	GO:0046942	P
aroP	GO:0046942	P
artI	GO:0046942	P
artJ	GO:0046942	P
artM	GO:0046942	P
artP	GO:0046942	P
artQ	GO:0046942	P
bcr	GO:0046942	P
brnQ	GO:0046942	P
cadB	GO:0046942	P
cycA	GO:0046942	P
cydC	GO:0046942	P
cydD	GO:0046942	P
cyuP	GO:0046942	P
dauA	GO:0046942	P
dctA	GO:0046942	P
dcuA	GO:0046942	P
dcuB	GO:0046942	P
dcuC	GO:0046942	P
dcuD	GO:0046942	P
dsdX	GO:0046942	P
eamA	GO:0046942	P
eamB	GO:0046942	P
frlA	GO:0046942	P
gabP	GO:0046942	P
gadC	GO:0046942	P
glcA	GO:0046942	P
glnH	GO:0046942	P
glnP	GO:0046942	P
glnQ	GO:0046942	P
gltI	GO:0046942	P
gltJ	GO:0046942	P
gltK	GO:0046942	P
gltL	GO:0046942	P
gltP	GO:0046942	P
gltS	GO:0046942	P
gntP	GO:0046942	P
gntT	GO:0046942	P
gntU	GO:0046942	P
hisJ	GO:0046942	P
hisM	GO:0046942	P
hisP	GO:0046942	P
hisQ	GO:0046942	P
idnT	GO:0046942	P
kdgT	GO:0046942	P
leuE	GO:0046942	P
lgoT	GO:0046942	P
livF	GO:0046942	P
livG	GO:0046942	P
livH	GO:0046942	P
livJ	GO:0046942	P
livK	GO:0046942	P
livM	GO:0046942	P
lldP	GO:0046942	P
lysO	GO:0046942	P
lysP	GO:0046942	P
metI	GO:0046942	P
metN	GO:0046942	P
metQ	GO:0046942	P
mmuP	GO:0046942	P
mngA	GO:0046942	P
mtr	GO:0046942	P
nanC	GO:0046942	P
nanT	GO:0046942	P
nlpA	GO:0046942	P
osmF	GO:0046942	P
panF	GO:0046942	P
pheP	GO:0046942	P
plaP	GO:0046942	P
potE	GO:0046942	P
proP	GO:0046942	P
proV	GO:0046942	P
proW	GO:0046942	P
proX	GO:0046942	P
proY	GO:0046942	P
putP	GO:0046942	P
puuP	GO:0046942	P
rhtA	GO:0046942	P
rhtB	GO:0046942	P
rhtC	GO:0046942	P
satP	GO:0046942	P
sdaC	GO:0046942	P
shiA	GO:0046942	P
sstT	GO:0046942	P
tcyJ	GO:0046942	P
tcyL	GO:0046942	P
tcyN	GO:0046942	P
tcyP	GO:0046942	P
tdcC	GO:0046942	P
tnaB	GO:0046942	P
tyrP	GO:0046942	P
ulaA	GO:0046942	P
ulaB	GO:0046942	P
ulaC	GO:0046942	P
yahN	GO:0046942	P
ybaT	GO:0046942	P
yddG	GO:0046942	P
ydgI	GO:0046942	P
yehW	GO:0046942	P
yehX	GO:0046942	P
yehY	GO:0046942	P
ygaH	GO:0046942	P
ygaZ	GO:0046942	P
ygbN	GO:0046942	P
yhdX	GO:0046942	P
yhdY	GO:0046942	P
yhdZ	GO:0046942	P
yhjV	GO:0046942	P
yiaM	GO:0046942	P
yifK	GO:0046942	P
yijE	GO:0046942	P
yjeH	GO:0046942	P
yjhB	GO:0046942	P
yjhF	GO:0046942	P
yjjB	GO:0046942	P
yjjP	GO:0046942	P
yqeG	GO:0046942	P
aaeA	GO:0055085	P
aaeB	GO:0055085	P
abgT	GO:0055085	P
acrA	GO:0055085	P
acrB	GO:0055085	P
acrD	GO:0055085	P
acrE	GO:0055085	P
acrF	GO:0055085	P
acrZ	GO:0055085	P
actP	GO:0055085	P
adeP	GO:0055085	P
adeQ	GO:0055085	P
adiC	GO:0055085	P
afuC	GO:0055085	P
agaB	GO:0055085	P
agaV	GO:0055085	P
alaE	GO:0055085	P
alsA	GO:0055085	P
alsB	GO:0055085	P
alsC	GO:0055085	P
ampG	GO:0055085	P
ansP	GO:0055085	P
aqpZ	GO:0055085	P
araE	GO:0055085	P
araH	GO:0055085	P
araJ	GO:0055085	P
argO	GO:0055085	P
arnE	GO:0055085	P
arnF	GO:0055085	P
aroP	GO:0055085	P
artM	GO:0055085	P
artP	GO:0055085	P
artQ	GO:0055085	P
ascF	GO:0055085	P
atpA	GO:0055085	P
atpB	GO:0055085	P
atpC	GO:0055085	P
atpD	GO:0055085	P
atpF	GO:0055085	P
atpG	GO:0055085	P
atpH	GO:0055085	P
bcr	GO:0055085	P
betT	GO:0055085	P
bglF	GO:0055085	P
bglH	GO:0055085	P
brnQ	GO:0055085	P
btsT	GO:0055085	P
btuB	GO:0055085	P
btuC	GO:0055085	P
cadB	GO:0055085	P
caiT	GO:0055085	P
ccmA	GO:0055085	P
chaA	GO:0055085	P
chbA	GO:0055085	P
chbB	GO:0055085	P
chbC	GO:0055085	P
chiP	GO:0055085	P
citT	GO:0055085	P
clcA	GO:0055085	P
clcB	GO:0055085	P
cmtA	GO:0055085	P
codB	GO:0055085	P
copA	GO:0055085	P
corA	GO:0055085	P
crcB	GO:0055085	P
csgE	GO:0055085	P
csgG	GO:0055085	P
cusA	GO:0055085	P
cusB	GO:0055085	P
cusC	GO:0055085	P
cvrA	GO:0055085	P
cycA	GO:0055085	P
cydC	GO:0055085	P
cydD	GO:0055085	P
cynX	GO:0055085	P
cysA	GO:0055085	P
cysP	GO:0055085	P
cysU	GO:0055085	P
cysW	GO:0055085	P
cyuP	GO:0055085	P
dauA	GO:0055085	P
dctA	GO:0055085	P
dcuA	GO:0055085	P
dcuB	GO:0055085	P
dcuC	GO:0055085	P
ddpA	GO:0055085	P
ddpB	GO:0055085	P
ddpC	GO:0055085	P
ddpD	GO:0055085	P
ddpF	GO:0055085	P
dgoT	GO:0055085	P
dinF	GO:0055085	P
dld	GO:0055085	P
dppA	GO:0055085	P
dppB	GO:0055085	P
dppC	GO:0055085	P
dppD	GO:0055085	P
dppF	GO:0055085	P
dsdX	GO:0055085	P
dtpA	GO:0055085	P
dtpB	GO:0055085	P
dtpC	GO:0055085	P
dtpD	GO:0055085	P
eamA	GO:0055085	P
eamB	GO:0055085	P
elfC	GO:0055085	P
emrA	GO:0055085	P
emrB	GO:0055085	P
emrD	GO:0055085	P
emrE	GO:0055085	P
emrK	GO:0055085	P
emrY	GO:0055085	P
exbB	GO:0055085	P
exbD	GO:0055085	P
exuT	GO:0055085	P
fadL	GO:0055085	P
fbpC	GO:0055085	P
fepA	GO:0055085	P
fieF	GO:0055085	P
fimD	GO:0055085	P
fliI	GO:0055085	P
focA	GO:0055085	P
focB	GO:0055085	P
frlA	GO:0055085	P
fruA	GO:0055085	P
fruB	GO:0055085	P
frvA	GO:0055085	P
frvB	GO:0055085	P
frwB	GO:0055085	P
frwC	GO:0055085	P
frwD	GO:0055085	P
fryA	GO:0055085	P
fryB	GO:0055085	P
fryC	GO:0055085	P
fsr	GO:0055085	P
