node	function
bglF	1,1.1,1.1.1
bglF	2,2.3,2.3.3
bglF	3,3.1,3.1.3,3.1.3.2
bglF	4,4.4,4.4.A
bglF	6,6.1
bglG	1,1.1,1.1.1
bglG	2,2.2,2.2.2
bglG	3,3.1,3.1.2,3.1.2.2
bglG	3,3.3,3.3.1
bglH	4,4.1,4.1.B
bglJ	1,1.1,1.1.1
bglJ	2,2.2,2.2.2
bglJ	3,3.1,3.1.2,3.1.2.2
bglJ	3,3.3,3.3.1
bglX	1,1.1,1.1.1
bhsA	5,5.5
bioA	1,1.5,1.5.3,1.5.3.1
bioB	1,1.5,1.5.3,1.5.3.1
bioC	1,1.5,1.5.3,1.5.3.1
bioD	1,1.5,1.5.3,1.5.3.1
bioF	1,1.5,1.5.3,1.5.3.1
bioH	1,1.5,1.5.3,1.5.3.1
bioP	4,4.9.A
bioP	6,6.1
bipA	2,2.3,2.3.2
bipA	3
bipA	5,5.5,5.5.2
birA	1,1.5,1.5.3,1.5.3.1
birA	2,2.2,2.2.2
birA	3,3.1,3.1.2,3.1.2.3
birA	3,3.3,3.3.1
bisC	1,1.5,1.5.1,1.5.1.9
bisC	1,1.5,1.5.3,1.5.3.1
blr	5,5.5
blr	5,5.6,5.6.4
bluF	3,3.1,3.1.3
bluR	2,2.2,2.2.2
bolA	2,2.2,2.2.2
bolA	3,3.1,3.1.2,3.1.2.2
bolA	3,3.1,3.1.2,3.1.2.3
bolA	5,5.1
bolA	5,5.5,5.5.1
bolA	6,6.2
borD	8,8.1
brnQ	1,1.1,1.1.3
brnQ	1,1.5,1.5.1,1.5.1.18
brnQ	1,1.5,1.5.1,1.5.1.19
brnQ	4,4.2,4.2.A
brnQ	6,6.1
bsmA	5,5.5,5.5.4
bsmA	5,5.5,5.5.6
bssR	2
bssS	2
btsR	3,3.1,3.1.2
btsR	5,5.6,5.6.4
btsS	2,2.3,2.3.3
btsS	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
btsS	3,3.1,3.1.3,3.1.3.2
btsT	4,4.2,4.2.A
btsT	6,6.1
btuB	4,4.1,4.1.B
btuB	8,8.1
btuC	1,1.5,1.5.3,1.5.3.13
btuC	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
btuC	6,6.1
btuD	1,1.5,1.5.3,1.5.3.13
btuD	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
btuE	5,5.5,5.5.6
btuF	4,4.3,4.3.A,4.3.A.1,4.3.A.1.p
btuR	1,1.5,1.5.3,1.5.3.13
cadA	5,5.5,5.5.4
cadB	4,4.2,4.2.A
cadB	6,6.1
cadC	1,1.1,1.1.3
cadC	2,2.2,2.2.2
cadC	3,3.1,3.1.2,3.1.2.2
cadC	3,3.3,3.3.1
caiA	1,1.4,1.4.2
caiA	1,1.7,1.7.22
caiB	1,1.7,1.7.22
caiC	1,1.1,1.1.4
caiD	1,1.7,1.7.22
caiE	1,1.1,1.1.4
caiE	1,1.7,1.7.22
caiF	1,1.1,1.1.4
caiF	1,1.7,1.7.1
caiF	2,2.2,2.2.2
caiF	3,3.1,3.1.2,3.1.2.2
caiF	3,3.3,3.3.1
caiT	1,1.1,1.1.1
caiT	4,4.2,4.2.A
caiT	6,6.1
can	1,1.7,1.7.1
carA	1,1.5,1.5.1,1.5.1.3
carA	1,1.5,1.5.2,1.5.2.2
carB	1,1.5,1.5.1,1.5.1.3
carB	1,1.5,1.5.2,1.5.2.2
cas1	2,2.1,2.1.4
cas1	5,5.10
cas2	5,5.10
cas3	5,5.10
casA	5,5.10
casB	5,5.10
casC	5,5.10
casD	5,5.10
casE	5,5.10
cbeA	5,5.6,5.6.3
cbeA	8,8.1
cbl	1,1.5,1.5.1,1.5.1.12
cbl	1,1.8,1.8.2
cbl	2,2.2,2.2.2
cbl	3,3.1,3.1.2,3.1.2.2
cbl	3,3.3,3.3.2
cbpA	2,2.3,2.3.4
cbpA	2,2.3,2.3.7
cbpM	2,2.3,2.3.4
cbpM	3,3.1,3.1.3,3.1.3.3
cbrA	5,5.6
cbrA	8,8.4
cbrC	8,8.4
cbtA	5,5.6,5.6.3
cbtA	8,8.1
cca	2,2.2,2.2.3
ccmA	1,1.5,1.5.3,1.5.3.12
ccmA	1,1.6,1.6.15,1.6.15.1
ccmA	2,2.3,2.3.4
ccmA	4,4.3,4.3.A,4.3.A.1,4.3.A.1.a
ccmB	1,1.6,1.6.15,1.6.15.1
ccmB	2,2.3,2.3.4
ccmB	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
ccmB	6,6.1
ccmC	1,1.6,1.6.15,1.6.15.1
ccmC	2,2.3,2.3.4
ccmC	4,4.3,4.3.A,4.3.A.1,4.3.A.1.m
ccmC	6,6.1
ccmD	1,1.6,1.6.15,1.6.15.1
ccmD	2,2.3,2.3.4
