source,target,score
AraC,FliZ,0.0
AraC,FucR,0.0
AraC,Fur,0.0
AraC,GadE,0.0
AraC,GadE-RcsB,0.0
AraC,GadX,0.0
AraC,GalR,0.0
AraC,GalS,0.0
AraC,GatR,0.0
AraC,GcvA,0.0
AraC,GlaR,0.0
AraC,GlcC,0.0
AraC,GlpR,0.0
AraC,GlrR,0.0
AraC,GntR,0.0
AraC,GutM,0.0
AraC,H-NS,0.0
AraC,HU,0.0
AraC,HdfR,0.0
AraC,HipAB,0.0
AraC,HipB,0.0
AraC,HprR,0.0
AraC,HyfR,0.0
AraC,HypT,0.0
AraC,IHF,0.0
AraC,IclR,0.0
AraC,IdnR,0.0
AraC,IscR,0.0
AraC,LacI,0.0
AraC,LeuO,0.0
AraC,LexA,0.0
AraC,LldR,0.0
AraC,Lrp,0.0
AraC,LsrR,0.0
AraC,MalI,0.0
AraC,MalT,0.0
AraC,MarA,0.0
AraC,MarR,0.0
AraC,McbR,0.0
AraC,MelR,0.0
AraC,MetJ,0.0
AraC,MetR,0.0
AraC,MhpR,0.0
AraC,Mlc,0.0
AraC,MlrA,0.0
AraC,ModE,0.0
AraC,MqsA,0.0
AraC,MraZ,0.0
AraC,MurR,0.0
AraC,Nac,0.0
AraC,NagC,0.0
AraC,NanR,0.0
AraC,NarL,0.0
AraC,NarP,0.0
AraC,NemR,0.0
AraC,NhaR,0.0
AraC,NikR,0.0
AraC,NorR,0.0
AraC,NrdR,0.0
AraC,NsrR,0.0
AraC,NtrC,0.0
AraC,OmpR,0.0
AraC,OxyR,0.0
AraC,PaaX,0.0
AraC,PdhR,0.0
AraC,PepA,0.0
AraC,PhoB,0.0
AraC,PhoP,0.0
AraC,PrpR,0.0
AraC,PspF,0.0
AraC,PurR,0.0
AraC,PuuR,0.0
AraC,QseB,0.0
AraC,RbsR,0.0
AraC,RcdA,0.0
AraC,RcnR,0.0
AraC,RcsAB,0.0
AraC,RcsB,0.0
AraC,RcsB-BglJ,0.0
AraC,RelB,0.0
AraC,RelB-RelE,0.0
AraC,RhaR,0.0
AraC,RhaS,0.0
AraC,Rob,0.0
AraC,RstA,0.0
AraC,RtcR,0.0
AraC,RutR,0.0
AraC,SlyA,0.0
AraC,SoxR,0.0
AraC,SoxS,0.0
AraC,SrlR,0.0
AraC,StpA,0.0
AraC,TdcA,0.0
AraC,TdcR,0.0
AraC,TorR,0.0
AraC,TreR,0.0
AraC,TyrR,0.0
AraC,UidR,0.0
AraC,UlaR,0.0
AraC,UxuR,0.0
AraC,XylR,0.5
AraC,YdeO,0.0
AraC,YiaJ,0.0
AraC,ZraR,0.0
AraC,Zur,0.0
ArcA,AcrR,0.0
ArcA,AdiY,0.0
ArcA,AgaR,0.0
ArcA,AppY,0.06666666666666667
ArcA,AraC,0.0
ArcA,ArcA,1.0
ArcA,ArgP,0.0
ArcA,ArgR,0.0
ArcA,AscG,0.0
ArcA,AtoC,0.0
ArcA,BCCP,0.0
ArcA,BaeR,0.0
ArcA,BasR,0.0
ArcA,BetI,0.03333333333333333
ArcA,CRP,0.1188118811881188
ArcA,CadC,0.03333333333333333
ArcA,CaiF,0.03225806451612903
ArcA,Cbl,0.0
ArcA,CdaR,0.0
ArcA,ChbR,0.0
ArcA,CpxR,0.0
ArcA,Cra,0.13513513513513514
ArcA,CreB,0.0
ArcA,CsgD,0.0
ArcA,CueR,0.0
ArcA,CusR,0.03225806451612903
ArcA,CysB,0.0
ArcA,CytR,0.0
ArcA,DcuR,0.03225806451612903
ArcA,DeoR,0.0
ArcA,DgoR,0.0
ArcA,DnaA,0.0
ArcA,DpiA,0.06666666666666667
ArcA,DsdC,0.0
ArcA,EvgA,0.0
ArcA,ExuR,0.0
ArcA,FNR,0.2153846153846154
ArcA,FabR,0.0
ArcA,FadR,0.0625
ArcA,FhlA,0.0
ArcA,Fis,0.1
ArcA,FlhDC,0.02857142857142857
ArcA,FliZ,0.0
ArcA,FucR,0.0
ArcA,Fur,0.09302325581395349
ArcA,GadE,0.03125
ArcA,GadE-RcsB,0.03333333333333333
ArcA,GadX,0.03225806451612903
ArcA,GalR,0.0
ArcA,GalS,0.0
ArcA,GatR,0.03333333333333333
ArcA,GcvA,0.0
ArcA,GlaR,0.0
ArcA,GlcC,0.03333333333333333
ArcA,GlpR,0.03125
ArcA,GlrR,0.0
ArcA,GntR,0.0
ArcA,GutM,0.0
ArcA,H-NS,0.058823529411764705
ArcA,HU,0.0
ArcA,HdfR,0.0
ArcA,HipAB,0.0
ArcA,HipB,0.0
ArcA,HprR,0.03225806451612903
ArcA,HyfR,0.0
ArcA,HypT,0.03225806451612903
ArcA,IHF,0.0847457627118644
ArcA,IclR,0.03333333333333333
ArcA,IdnR,0.0
