source	target
GO:0016857	GO:0008742
GO:0016830	GO:0016832
GO:0019321	GO:0019324
GO:0005402	GO:0005351
GO:0015295	GO:0005351
GO:0042900	GO:0015147
GO:0015149	GO:0015150
GO:0008645	GO:0015756
GO:0015751	GO:0042882
GO:0043211	GO:0015407
GO:0015145	GO:0015407
GO:0005488	GO:0030246
GO:0015750	GO:0015751
GO:0043190	GO:0055052
GO:0004871	GO:0000156
GO:0035556	GO:0000160
GO:0044212	GO:0000976
GO:1990837	GO:0000976
GO:0001130	GO:0001216
GO:0038023	GO:0000155
GO:0004673	GO:0000155
GO:0044464	GO:0005622
GO:0016301	GO:0009927
GO:0004871	GO:0009927
GO:0018202	GO:0018106
GO:0006468	GO:0018106
GO:0007165	GO:0023014
GO:0006468	GO:0023014
GO:0006468	GO:0046777
GO:0016774	GO:0008804
GO:0016301	GO:0008804
GO:0006527	GO:0019546
GO:0003723	GO:0000049
GO:0043021	GO:0043023
GO:0006414	GO:0072344
GO:0006417	GO:0072344
GO:0140101	GO:0004045
GO:0052689	GO:0004045
GO:0003747	GO:0016150
GO:0043021	GO:0043022
GO:0008080	GO:0004358
GO:0006525	GO:0006526
GO:0009084	GO:0006526
GO:0016774	GO:0003991
GO:0016301	GO:0003991
GO:0043169	GO:0034618
GO:0016597	GO:0034618
GO:0016620	GO:0003942
GO:0008483	GO:0003992
GO:0008483	GO:0009016
GO:0009089	GO:0033359
GO:0006526	GO:0042450
GO:0006591	GO:0042450
GO:0019213	GO:0008777
GO:0016811	GO:0008777
GO:0046914	GO:0050897
GO:0019627	GO:0000050
GO:0043604	GO:0000050
GO:1901566	GO:0000050
GO:0016743	GO:0004585
GO:0008152	GO:0044238
GO:0072350	GO:0000053
GO:1901605	GO:0000053
GO:0006575	GO:0000053
GO:0016879	GO:0004055
GO:0016842	GO:0004056
GO:0017111	GO:0003924
GO:0015807	GO:1902023
GO:0015893	GO:1902023
GO:0015809	GO:1902023
GO:0003677	GO:0003681
GO:0030174	GO:0032297
GO:2000104	GO:0032297
GO:0006310	GO:0042150
GO:0003677	GO:0044212
GO:0001067	GO:0044212
GO:0045892	GO:2000143
GO:2000142	GO:2000143
GO:0031333	GO:2000143
GO:0004812	GO:0004814
GO:0006418	GO:0006420
GO:0043562	GO:0006995
GO:0009267	GO:0006995
GO:0033554	GO:0009267
GO:0042594	GO:0009267
GO:0031669	GO:0009267
GO:0006865	GO:0015822
GO:0006812	GO:0015822
GO:0071248	GO:0071294
GO:0010043	GO:0071294
GO:0015807	GO:1902022
GO:0015893	GO:1902022
GO:0006812	GO:1902022
GO:0046677	GO:0042542
GO:0042493	GO:0042542
GO:0010035	GO:0042542
GO:0009636	GO:0042542
GO:0000302	GO:0042542
GO:0009226	GO:0033320
GO:0033319	GO:0033320
GO:0051259	GO:0034214
GO:0016831	GO:0048040
GO:0043168	GO:0070403
GO:0051287	GO:0070403
GO:0016616	GO:0099618
GO:0016742	GO:0099619
GO:0009226	GO:2001315
GO:2001313	GO:2001315
GO:0046349	GO:2001315
GO:0016051	GO:0000271
GO:0009059	GO:0000271
GO:0005976	GO:0000271
GO:0008483	GO:0099620
GO:0016763	GO:0099621
GO:0010039	GO:0010041
GO:0033692	GO:0009103
GO:0008653	GO:0009103
GO:1901137	GO:0009103
GO:0008610	GO:0009103
GO:0016757	GO:0016763
GO:0070085	GO:0097502
GO:0016765	GO:0003866
GO:0009072	GO:0009073
GO:0008652	GO:0009073
GO:0019438	GO:0009073
GO:1901362	GO:0009073
GO:0046417	GO:0009423
GO:0043650	GO:0009423
GO:0016838	GO:0003856
GO:0016838	GO:0004107
GO:0043168	GO:0010181
GO:0032553	GO:0010181
GO:0050662	GO:0010181
GO:0016836	GO:0003855
GO:0009713	GO:0046279
GO:0046278	GO:0046279
GO:0072330	GO:0046279
GO:0016616	GO:0004764
